,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Georgetown,MY,5.4112,100.3354,78.8,88,20,5.75,few clouds,0.0,0.0
1,Thinadhoo,MV,0.5333,72.9333,81.43,76,59,13.96,broken clouds,0.0,0.0
2,Chokurdakh,RU,70.6333,147.9167,-5.24,91,100,9.4,overcast clouds,0.0,0.0
3,Rikitea,PF,-23.1203,-134.9692,78.57,67,55,7.11,broken clouds,0.0,0.0
4,Vila Franca Do Campo,PT,37.7167,-25.4333,61.0,88,40,17.27,light rain,0.14,0.0
5,Praia Da Vitoria,PT,38.7333,-27.0667,60.8,94,40,18.86,light rain,0.0,0.0
6,Coquimbo,CL,-29.9533,-71.3436,66.2,63,0,14.97,clear sky,0.0,0.0
7,Avarua,CK,-21.2078,-159.775,84.2,79,16,12.66,few clouds,0.0,0.0
8,Busselton,AU,-33.65,115.3333,59.0,80,0,5.01,clear sky,0.0,0.0
9,Kapaa,US,22.0752,-159.319,77.0,83,1,4.38,clear sky,0.0,0.0
10,Saint-Philippe,RE,-21.3585,55.7679,78.8,94,20,4.61,few clouds,0.0,0.0
11,Bredasdorp,ZA,-34.5322,20.0403,68.0,56,0,13.8,clear sky,0.0,0.0
12,Barrow,US,71.2906,-156.7887,-9.4,77,1,16.11,haze,0.0,0.0
13,Punta Arenas,CL,-53.15,-70.9167,57.2,72,0,16.11,clear sky,0.0,0.0
14,Bluff,NZ,-46.6,168.3333,57.72,90,56,2.89,broken clouds,0.0,0.0
15,Jamestown,US,42.097,-79.2353,43.0,65,90,20.71,overcast clouds,0.0,0.0
16,Narsaq,GL,60.9167,-46.05,23.0,46,75,13.8,broken clouds,0.0,0.0
17,Yellowknife,CA,62.456,-114.3525,10.4,92,75,17.27,snow,0.0,0.0
18,Khowst,AF,33.3833,69.8833,45.79,41,0,3.29,clear sky,0.0,0.0
